MaNhanVien,Tuoi,GioiTinh,TinhTrangHonNhan,DiaDiemLamViec,LoaiHopDong,TrinhDoHocVan,LinhVucDaoTao,PhongBan,ViTriCongViec,CapBacCongViec,TanSuatCongTac,LamThemGio,ThuNhapHangThang_VND,PhanTramTangLuong,KhoangCachNha_Km,HaiLong_CongViec,HaiLong_MoiTruong,CanBangCongViec_CuocSong,MucDoGanKetCongViec,HaiLong_QuanHe,DanhGiaHieuSuat,SoLanDaoTao_Nam,SoCongTyDaLam,TongNamKinhNghiem,SoNamTaiCongTy,SoNam_ViTriHienTai,SoNam_TuLanThangChuc,SoNam_VoiQuanLyHienTai,NghiViec
NV20260011,21,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Tài chính,Tài chính - Kế toán,Kế toán viên,1,Ít,Có,11100000,10,6,2,2,3,5,2,3,3,1,0,0,0,0,0,Có
NV20260012,31,Nam,Độc thân,Hà Nội,Toàn thời gian,THPT,Công nghệ thông tin,Công nghệ thông tin,Kỹ sư dữ liệu,3,Không công tác,Không,22100000,9,14,4,4,4,2,1,4,5,2,6,6,3,2,5,Không
NV20260013,31,Nữ,Độc thân,Cần Thơ,Toàn thời gian,Đại học,Công nghệ thông tin,Marketing,Chuyên viên marketing,3,Ít,Không,24500000,8,5,4,5,4,4,5,3,5,2,13,7,5,4,2,Không
NV20260014,25,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Nhân sự,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Thường xuyên,Không,21300000,8,17,3,4,4,3,1,4,2,1,5,4,3,3,3,Không
NV20260015,37,Nam,Đã kết hôn,Hải Phòng,Hợp đồng xác định thời hạn,Đại học,Công nghệ thông tin,Tài chính - Kế toán,Chuyên viên tài chính,3,Không công tác,Không,25100000,12,16,2,2,3,2,3,4,5,1,14,4,3,1,1,Không
NV20260016,25,Nữ,Độc thân,Đà Nẵng,Toàn thời gian,Thạc sĩ,Kinh tế,Kinh doanh,Nhân viên kinh doanh,1,Không công tác,Không,13500000,7,13,4,4,4,1,4,2,4,3,0,0,0,0,0,Không
NV20260017,29,Nam,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Cao đẳng,Công nghệ thông tin,Kinh doanh,Quản lý kinh doanh,1,Ít,Có,14200000,13,11,3,3,4,4,4,3,6,1,0,0,0,0,0,Không
NV20260018,33,Nữ,Độc thân,Hà Nội,Hợp đồng xác định thời hạn,THPT,Công nghệ thông tin,Marketing,Trưởng nhóm marketing,3,Ít,Không,20500000,15,9,5,5,3,4,4,2,3,1,9,5,2,2,2,Không
NV20260019,32,Nam,Độc thân,Cần Thơ,Thử việc,Đại học,Công nghệ thông tin,Nghiên cứu và Phát triển,Kỹ sư R&D,3,Không công tác,Không,24500000,9,7,4,3,2,3,1,4,1,4,11,6,4,5,3,Không
NV20260020,36,Nữ,Độc thân,TP. Hồ Chí Minh,Thử việc,Đại học,Công nghệ thông tin,Vận hành,Nhân viên vận hành,4,Ít,Không,29900000,14,18,3,2,5,2,2,2,2,1,13,10,5,4,6,Không
NV20260021,34,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,THPT,Kinh tế,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Không công tác,Có,19000000,8,14,4,3,4,3,2,5,2,2,8,3,2,1,2,Không
NV20260022,33,Nam,Độc thân,Cần Thơ,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Lập trình viên,3,Ít,Không,21400000,13,2,4,1,4,4,2,4,3,1,7,7,3,2,6,Không
NV20260023,20,Nữ,Độc thân,Hải Phòng,Thử việc,Thạc sĩ,Khác,Marketing,Chuyên viên marketing,1,Ít,Có,12600000,8,6,1,4,5,4,2,3,2,2,1,0,0,0,0,Có
NV20260024,24,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Nhân sự,Chuyên viên nhân sự,1,Thường xuyên,Không,10900000,10,3,2,1,2,4,5,4,2,0,0,0,0,0,0,Có
NV20260025,37,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Kỹ thuật,Vận hành,Trưởng nhóm vận hành,1,Ít,Không,15400000,16,17,4,5,3,4,3,3,4,1,9,1,1,1,1,Không
NV20260026,24,Nam,Đã kết hôn,Hải Phòng,Hợp đồng xác định thời hạn,Cao đẳng,Khác,Kinh doanh,Trưởng nhóm kinh doanh,1,Ít,Không,16900000,10,2,2,4,4,2,3,3,5,1,6,1,1,0,1,Có
NV20260027,39,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kinh tế,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Không công tác,Không,28800000,9,15,4,4,2,4,5,3,4,4,18,4,2,1,3,Không
NV20260028,31,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Tài chính - Kế toán,Trưởng nhóm tài chính,2,Ít,Không,18900000,10,12,3,5,3,5,4,4,3,0,7,2,2,0,2,Có
NV20260029,30,Nữ,Độc thân,Đà Nẵng,Toàn thời gian,Đại học,Kỹ thuật,Vận hành,Điều phối viên,3,Không công tác,Có,20700000,13,4,5,4,3,4,4,4,2,3,7,4,3,1,3,Không
NV20260030,33,Nam,Ly hôn,Hải Phòng,Hợp đồng xác định thời hạn,Đại học,Marketing,Kinh doanh,Nhân viên kinh doanh,4,Ít,Không,28300000,10,18,1,2,5,3,2,4,2,7,11,11,5,7,8,Không
NV20260031,20,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kỹ thuật,Tài chính - Kế toán,Trưởng nhóm tài chính,1,Thường xuyên,Không,13500000,5,5,3,3,2,3,4,4,3,1,0,0,0,0,0,Không
NV20260032,31,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Kinh tế,Marketing,Chuyên viên nội dung,1,Ít,Không,9500000,10,7,3,3,3,4,3,4,2,1,0,0,0,0,0,Không
NV20260033,43,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Kỹ sư kiểm thử,4,Ít,Có,31200000,12,6,3,3,1,5,5,4,3,4,17,9,5,2,6,Không
NV20260034,40,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Cao đẳng,Nhân sự,Vận hành,Nhân viên vận hành,3,Ít,Không,27100000,4,17,4,2,4,1,4,3,4,1,18,5,4,3,2,Không
NV20260035,27,Nữ,Đã kết hôn,Hải Phòng,Hợp đồng xác định thời hạn,Đại học,Kinh tế,Nghiên cứu và Phát triển,Chuyên viên R&D,2,Ít,Không,19200000,10,3,3,5,3,3,5,3,4,1,3,3,1,1,2,Không
NV20260036,40,Nam,Đã kết hôn,Bình Dương,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Kỹ sư dữ liệu,4,Không công tác,Không,33200000,12,13,4,3,4,5,3,3,5,2,22,10,8,7,6,Không
NV20260037,20,Nam,Độc thân,Hải Phòng,Hợp đồng xác định thời hạn,Đại học,Kinh tế,Marketing,Chuyên viên nội dung,1,Không công tác,Không,13500000,11,8,3,3,4,3,3,1,5,3,0,0,0,0,0,Không
NV20260038,29,Nam,Độc thân,Bình Dương,Toàn thời gian,Tiến sĩ,Công nghệ thông tin,Công nghệ thông tin,Trưởng nhóm kỹ thuật,3,Không công tác,Không,21300000,17,23,4,4,4,1,4,3,2,1,5,5,2,2,4,Không
NV20260039,28,Nữ,Độc thân,Hải Phòng,Hợp đồng xác định thời hạn,Cao đẳng,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Ít,Không,11200000,10,17,3,4,5,4,2,2,3,5,0,0,0,0,0,Không
NV20260040,33,Nam,Ly hôn,Đà Nẵng,Toàn thời gian,Đại học,Công nghệ thông tin,Marketing,Chuyên viên nội dung,2,Không công tác,Có,16100000,12,5,3,3,2,2,5,4,3,1,3,2,2,1,1,Không
NV20260041,32,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,THPT,Kỹ thuật,Tài chính - Kế toán,Trưởng nhóm tài chính,4,Không công tác,Có,28000000,5,14,3,3,5,3,3,4,2,4,10,10,7,4,6,Có
NV20260042,29,Nam,Đã kết hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Kinh tế,Tài chính - Kế toán,Kế toán viên,3,Không công tác,Không,22100000,8,22,3,4,5,3,3,4,2,1,8,5,2,3,2,Không
NV20260043,28,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,Đại học,Kinh tế,Vận hành,Nhân viên vận hành,3,Không công tác,Không,22600000,9,15,5,5,4,4,2,4,5,0,7,5,2,3,2,Không
NV20260044,27,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Cao đẳng,Khác,Vận hành,Điều phối viên,3,Ít,Không,20900000,12,23,5,3,4,4,4,3,2,4,5,5,2,1,4,Không
NV20260045,29,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Kỹ thuật,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Thường xuyên,Không,18300000,10,6,3,3,3,4,5,4,2,1,8,3,3,1,3,Có
NV20260046,30,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Tài chính - Kế toán,Chuyên viên tài chính,4,Ít,Có,29800000,11,3,1,1,4,3,4,3,2,0,11,10,4,8,6,Có
NV20260047,24,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Khác,Nhân sự,Chuyên viên tuyển dụng,2,Thường xuyên,Không,20200000,9,5,3,2,3,4,3,3,2,4,6,2,1,1,1,Không
NV20260048,37,Nữ,Độc thân,Hà Nội,Thử việc,Đại học,Kinh tế,Nghiên cứu và Phát triển,Trưởng nhóm R&D,3,Ít,Không,26500000,7,17,4,2,2,4,5,4,1,1,12,4,2,1,3,Có
NV20260049,33,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Kỹ thuật,Kinh doanh,Nhân viên kinh doanh,2,Không công tác,Có,19800000,10,5,3,1,3,5,2,4,2,1,12,3,2,2,2,Không
NV20260050,43,Nam,Đã kết hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Kỹ thuật,Marketing,Chuyên viên marketing,3,Không công tác,Không,28100000,12,5,2,5,2,4,3,3,4,1,20,5,2,1,2,Không
NV20260051,36,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Nghiên cứu và Phát triển,Chuyên viên R&D,2,Không công tác,Không,19800000,7,7,3,3,2,3,3,2,4,1,11,3,2,1,1,Không
NV20260052,32,Nữ,Đã kết hôn,Hải Phòng,Toàn thời gian,Đại học,Khác,Vận hành,Trưởng nhóm vận hành,3,Không công tác,Không,21000000,14,16,4,4,2,2,4,3,3,4,4,4,3,2,3,Không
NV20260053,34,Nam,Độc thân,Bình Dương,Hợp đồng xác định thời hạn,Cao đẳng,Khác,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,2,Không công tác,Không,17700000,11,6,5,3,2,4,2,4,2,1,9,2,1,1,1,Không
NV20260054,36,Nam,Ly hôn,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Vận hành,Trưởng nhóm vận hành,3,Ít,Không,26800000,9,9,4,2,3,5,5,4,4,2,18,5,2,2,4,Có
NV20260055,26,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,Thạc sĩ,Tài chính,Nghiên cứu và Phát triển,Kỹ sư R&D,3,Không công tác,Không,22600000,10,7,4,1,3,3,4,3,3,4,5,5,2,1,4,Không
NV20260056,34,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Tài chính - Kế toán,Kế toán viên,2,Không công tác,Không,17700000,9,11,3,4,4,4,4,4,5,2,10,2,2,1,2,Không
NV20260057,33,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Nhân viên kinh doanh,2,Không công tác,Không,18200000,9,23,2,5,3,3,3,3,3,2,11,2,1,2,2,Không
NV20260058,25,Nam,Đã kết hôn,Hải Phòng,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,1,Không công tác,Không,11000000,10,13,2,3,3,5,3,4,1,2,0,0,0,0,0,Có
NV20260059,42,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Tài chính,Kinh doanh,Trưởng nhóm kinh doanh,3,Không công tác,Không,29400000,12,22,1,3,3,3,4,3,4,2,24,5,2,3,3,Không
NV20260060,30,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Tiến sĩ,Kỹ thuật,Tài chính - Kế toán,Trưởng nhóm tài chính,3,Ít,Không,24600000,8,3,2,3,4,4,2,3,3,4,12,6,3,2,4,Không
NV20260061,33,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Tài chính,Nghiên cứu và Phát triển,Trưởng nhóm R&D,3,Ít,Không,23500000,6,9,1,3,4,2,2,4,4,1,15,4,3,2,3,Không
NV20260062,39,Nam,Độc thân,Đà Nẵng,Thử việc,Đại học,Công nghệ thông tin,Tài chính - Kế toán,Trưởng nhóm tài chính,2,Thường xuyên,Có,19300000,10,5,4,2,3,3,3,4,3,0,10,2,1,1,1,Không
NV20260063,30,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Nhân sự,Kinh doanh,Quản lý kinh doanh,4,Ít,Có,27200000,11,6,5,3,4,4,4,3,4,3,12,10,4,7,8,Có
NV20260064,33,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Nhân sự,Chuyên viên tuyển dụng,3,Ít,Có,18000000,14,13,3,4,3,1,2,3,3,1,4,4,2,3,2,Có
NV20260065,36,Nữ,Ly hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Không công tác,Có,19000000,7,4,5,5,4,4,4,3,4,2,13,1,1,0,0,Không
NV20260066,26,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,THPT,Tài chính,Công nghệ thông tin,Kỹ sư dữ liệu,1,Ít,Có,10800000,10,4,3,4,4,4,4,3,4,1,1,1,1,1,1,Có
NV20260067,30,Nam,Đã kết hôn,Hải Phòng,Toàn thời gian,THPT,Công nghệ thông tin,Nghiên cứu và Phát triển,Chuyên viên R&D,3,Không công tác,Không,24600000,16,2,2,2,5,3,4,2,6,3,12,4,3,2,1,Có
NV20260068,24,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Thạc sĩ,Kỹ thuật,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,2,Không công tác,Không,17800000,7,15,5,4,3,2,5,3,8,1,6,2,1,1,1,Có
NV20260069,43,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Trưởng nhóm nhân sự,5,Không công tác,Không,35900000,16,8,4,3,1,4,1,3,2,1,23,14,5,10,10,Không
NV20260070,27,Nam,Độc thân,Đà Nẵng,Toàn thời gian,Cao đẳng,Tài chính,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,2,Không công tác,Không,17500000,11,7,2,3,3,4,4,3,3,0,8,2,1,1,1,Không
NV20260071,24,Nữ,Độc thân,Cần Thơ,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Marketing,Chuyên viên nội dung,1,Thường xuyên,Có,12200000,8,4,4,2,3,3,3,2,3,1,1,1,1,1,1,Có
NV20260072,20,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Tiến sĩ,Công nghệ thông tin,Vận hành,Điều phối viên,1,Ít,Có,12200000,9,5,3,3,4,4,4,4,0,1,0,0,0,0,0,Có
NV20260073,36,Nữ,Độc thân,Hải Phòng,Toàn thời gian,Đại học,Khác,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Không công tác,Không,21200000,6,7,3,2,5,5,3,4,4,3,11,2,1,1,1,Không
NV20260074,23,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Cao đẳng,Kỹ thuật,Nghiên cứu và Phát triển,Trưởng nhóm R&D,1,Ít,Có,13100000,11,11,2,3,3,1,2,5,6,1,1,1,1,1,0,Không
NV20260075,42,Nam,Độc thân,TP. Hồ Chí Minh,Thử việc,Đại học,Kỹ thuật,Công nghệ thông tin,Kỹ sư kiểm thử,2,Không công tác,Không,20900000,11,9,3,3,2,4,5,4,3,2,17,3,1,1,1,Không
NV20260076,37,Nam,Độc thân,TP. Hồ Chí Minh,Thử việc,Thạc sĩ,Kỹ thuật,Marketing,Trưởng nhóm marketing,4,Không công tác,Không,32800000,10,12,4,5,4,3,4,4,3,1,19,8,4,3,7,Không
NV20260077,36,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Nhân sự,Công nghệ thông tin,Lập trình viên,2,Không công tác,Có,24500000,11,11,2,3,4,4,3,3,4,1,18,2,2,1,1,Có
NV20260078,30,Nữ,Đã kết hôn,Hải Phòng,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Lập trình viên,1,Thường xuyên,Không,16600000,11,7,3,4,5,4,2,2,2,2,1,1,1,1,1,Không
NV20260079,40,Nữ,Độc thân,Cần Thơ,Toàn thời gian,Tiến sĩ,Công nghệ thông tin,Công nghệ thông tin,Trưởng nhóm kỹ thuật,4,Ít,Không,31700000,7,15,4,5,4,3,5,3,4,1,19,8,3,4,4,Không
NV20260080,39,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,Đại học,Kinh tế,Kinh doanh,Nhân viên kinh doanh,3,Ít,Không,26100000,4,11,3,3,3,4,4,4,1,1,14,4,3,1,3,Không
NV20260081,43,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Kinh doanh,Quản lý kinh doanh,2,Thường xuyên,Có,19700000,10,8,3,3,3,3,4,3,3,1,13,3,2,1,1,Không
NV20260082,22,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Marketing,Vận hành,Điều phối viên,1,Không công tác,Không,10400000,13,10,2,4,3,3,2,4,2,0,0,0,0,0,0,Có
NV20260083,24,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Marketing,Trưởng nhóm marketing,1,Không công tác,Có,11500000,9,3,4,4,4,3,5,4,4,5,0,0,0,0,0,Có
NV20260084,40,Nam,Độc thân,Hải Phòng,Thử việc,Đại học,Khác,Công nghệ thông tin,Kỹ sư kiểm thử,2,Ít,Không,23800000,11,3,4,2,4,3,4,4,4,4,18,2,1,0,2,Không
NV20260085,39,Nam,Đã kết hôn,TP. Hồ Chí Minh,Thử việc,Đại học,Marketing,Công nghệ thông tin,Lập trình viên,4,Ít,Không,33300000,9,2,5,3,3,4,4,3,3,1,21,10,8,6,8,Không
NV20260086,45,Nữ,Độc thân,Hà Nội,Toàn thời gian,Thạc sĩ,Khác,Công nghệ thông tin,Kỹ sư kiểm thử,2,Thường xuyên,Không,22600000,16,7,1,3,1,5,4,4,2,3,19,2,2,1,1,Không
NV20260087,24,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Vận hành,Điều phối viên,3,Ít,Có,21600000,4,4,4,3,5,4,5,4,3,1,6,4,2,2,3,Không
NV20260088,31,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,Đại học,Tài chính,Kinh doanh,Quản lý kinh doanh,4,Ít,Không,27700000,13,32,2,4,3,4,3,4,2,0,9,9,7,3,5,Không
NV20260089,27,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Nhân sự,Kinh doanh,Trưởng nhóm kinh doanh,1,Ít,Có,14600000,9,4,2,4,1,2,4,2,3,0,3,1,1,0,0,Có
NV20260090,42,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,THPT,Marketing,Công nghệ thông tin,Trưởng nhóm kỹ thuật,3,Ít,Không,27800000,9,3,3,3,4,2,4,4,2,1,18,7,6,2,5,Không
NV20260091,28,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Marketing,Marketing,Trưởng nhóm marketing,2,Ít,Không,20900000,8,2,4,2,2,4,1,4,1,2,10,3,2,1,2,Không
NV20260092,27,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Chuyên viên tuyển dụng,1,Ít,Có,12800000,9,15,3,4,4,5,3,3,4,0,1,1,1,0,1,Có
NV20260093,34,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Nhân sự,Trưởng nhóm nhân sự,2,Ít,Không,23100000,8,7,2,2,4,1,2,2,3,3,16,2,1,1,2,Có
NV20260094,27,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Kinh doanh,Nhân viên kinh doanh,2,Không công tác,Không,17800000,6,9,3,3,3,3,2,4,6,0,3,3,1,1,1,Không
NV20260095,27,Nam,Đã kết hôn,Đà Nẵng,Hợp đồng xác định thời hạn,Đại học,Tài chính,Kinh doanh,Nhân viên kinh doanh,2,Thường xuyên,Có,18900000,18,7,4,4,4,3,3,3,4,3,2,2,1,1,1,Có
NV20260096,30,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,2,Ít,Không,18700000,8,8,3,4,4,4,4,4,1,1,8,2,2,1,1,Không
NV20260097,27,Nữ,Đã kết hôn,Hà Nội,Thử việc,Đại học,Tài chính,Công nghệ thông tin,Kỹ sư kiểm thử,3,Không công tác,Có,22400000,9,26,3,4,4,4,3,3,4,7,9,7,6,4,3,Có
NV20260098,23,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Vận hành,Điều phối viên,1,Thường xuyên,Không,10500000,12,11,4,4,5,4,2,4,1,4,0,0,0,0,0,Có
NV20260099,27,Nam,Độc thân,Hà Nội,Thử việc,THPT,Marketing,Tài chính - Kế toán,Trưởng nhóm tài chính,2,Ít,Không,15200000,13,3,4,3,4,5,3,4,5,1,5,2,1,1,2,Không
NV20260100,20,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Tài chính,Marketing,Trưởng nhóm marketing,1,Không công tác,Không,11200000,8,6,5,2,3,2,2,4,3,1,0,0,0,0,0,Có
NV20260101,37,Nam,Đã kết hôn,Đà Nẵng,Toàn thời gian,Đại học,Kỹ thuật,Kinh doanh,Trưởng nhóm kinh doanh,2,Ít,Có,20200000,12,6,3,2,3,4,4,2,3,2,8,3,2,2,2,Không
NV20260102,34,Nam,Độc thân,Bình Dương,Toàn thời gian,Đại học,Tài chính,Marketing,Chuyên viên nội dung,3,Thường xuyên,Không,24300000,10,11,4,5,4,3,5,4,2,6,12,6,4,2,3,Không
NV20260103,24,Nữ,Độc thân,Hà Nội,Toàn thời gian,Cao đẳng,Kinh tế,Kinh doanh,Nhân viên kinh doanh,3,Ít,Không,20400000,5,6,4,3,4,3,5,3,4,1,5,4,2,2,2,Không
NV20260104,28,Nữ,Độc thân,Hà Nội,Hợp đồng xác định thời hạn,Đại học,Kỹ thuật,Công nghệ thông tin,Trưởng nhóm kỹ thuật,1,Thường xuyên,Không,12100000,14,10,3,4,3,2,3,4,2,2,0,0,0,0,0,Có
NV20260105,24,Nam,Độc thân,Cần Thơ,Toàn thời gian,Cao đẳng,Tài chính,Tài chính - Kế toán,Chuyên viên tài chính,1,Không công tác,Không,10000000,9,2,3,5,4,4,3,1,4,3,0,0,0,0,0,Không
NV20260106,45,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kinh tế,Kinh doanh,Nhân viên kinh doanh,1,Ít,Không,19300000,14,9,5,3,3,4,3,5,3,1,14,1,1,0,0,Không
NV20260107,28,Nam,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Công nghệ thông tin,Công nghệ thông tin,Lập trình viên,3,Ít,Không,23500000,7,1,5,3,4,3,3,2,5,0,10,4,3,3,3,Có
NV20260108,28,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Nhân viên kinh doanh,3,Không công tác,Không,20600000,10,6,3,1,4,3,4,2,3,1,6,4,3,2,3,Không
